project_id,year,day,landuse,landcover,change_process,plotid
13,1985,209,Forest,Trees,NA,245
13,1991,226,Forest,Trees,Stable,245
13,1992,229,Forest,Trees,Harvest,245
13,1997,217,Forest,Trees,Growth/Recovery,245
13,1998,213,Forest,Trees,Harvest,245
13,2016,230,Forest,Trees,Growth/Recovery,245
13,1984,116,Forest,Trees,NA,246
13,2009,232,Forest,Trees,Stable,246
13,2010,212,Forest,Trees,Harvest,246
13,2014,199,Forest,Trees,Stable,246
13,2015,217,Forest,Trees,Harvest,246
13,2017,62,Forest,Trees,Growth/Recovery,246
13,1985,209,Forest,Trees,NA,247
13,2017,56,Forest,Trees,Stable,247
13,1985,209,Forest,Trees,NA,248
13,2017,56,Forest,Trees,Stable,248
13,1984,239,Forest,Trees,NA,249
13,2017,58,Forest,Trees,Stable,249
13,1984,239,Forest,Trees,NA,250
13,1997,258,Forest,Trees,Stable,250
13,1998,222,Forest,Trees,Harvest,250
13,2017,41,Forest,Trees,Growth/Recovery,250
13,1984,280,Forest,Trees,NA,251
13,2016,200,Forest,Trees,Stable,251
13,1984,173,Forest,Trees,NA,252
13,2017,71,Forest,Trees,Stable,252
13,1984,116,Forest,Trees,NA,253
13,2017,69,Forest,Trees,Stable,253
13,1985,209,Forest,Trees,NA,254
13,1998,213,Forest,Trees,Stable,254
13,2000,227,Forest,Trees,Harvest,254
13,2012,260,Forest,Trees,Growth/Recovery,254
13,2017,73,Forest,Trees,Growth/Recovery,254
13,1985,209,Forest,Trees,NA,255
13,2017,17,Forest,Trees,Stable,255
13,1984,241,Forest,Trees,NA,256
13,2001,231,Forest,Trees,Stable,256
